#,title,artist,top genre,year,bpm
393,Close,Nick Jonas,dance pop,2016,124
394,Toothbrush,DNCE,dance pop,2016,105
395,All We Know,The Chainsmokers,electropop,2016,90
396,Final Song,M�,dance pop,2016,105
397,Company,Justin Bieber,canadian pop,2016,95
398,Hands To Myself,Selena Gomez,dance pop,2016,111
399,All I Ask,Adele,british soul,2016,142
400,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,2016,163
401,NO,Meghan Trainor,dance pop,2016,92
402,Kill Em With Kindness,Selena Gomez,dance pop,2016,120
403,Cool Girl,Tove Lo,dance pop,2016,102
404,Runnin' (Lose It All),Naughty Boy,tropical house,2016,139
405,Here,Alessia Cara,canadian contemporary r&b,2016,120
406,Perfect Illusion,Lady Gaga,dance pop,2016,125
407,PILLOWTALK,ZAYN,dance pop,2016,125
408,Out Of The Woods,Taylor Swift,pop,2016,92
409,Rise,Katy Perry,dance pop,2016,101
410,Wherever I Go,OneRepublic,dance pop,2016,100
411,Body Say,Demi Lovato,dance pop,2016,87
412,Don't Be A Fool,Shawn Mendes,canadian pop,2016,175
413,LIKE I WOULD,ZAYN,dance pop,2016,113
414,Cheap Thrills,Sia,australian dance,2016,90
415,I Got You,Bebe Rexha,dance pop,2016,98
416,Run Away With Me,Carly Rae Jepsen,canadian pop,2016,119
417,Cruel (feat. ZAYN),Snakehips,dance pop,2016,110
418,Send My Love (To Your New Lover),Adele,british soul,2016,164
419,WTF (Where They From),Missy Elliott,dance pop,2016,120
420,Desire,Years & Years,dance pop,2016,126
421,When We Were Young,Adele,british soul,2016,144
422,I Know What You Did Last Summer,Shawn Mendes,canadian pop,2016,114
423,Wish That You Were Here - From �Miss Peregrine�s Home for Peculiar Children� Original Motion Picture,Florence + The Machine,art pop,2016,94
424,Hurts,Emeli Sand�,dance pop,2016,106
425,Change,Christina Aguilera,dance pop,2016,82
426,Make Me... (feat. G-Eazy),Britney Spears,dance pop,2016,123
427,Keeping Your Head Up,Birdy,neo mellow,2016,122
428,True Colors,Zedd,complextro,2016,126
429,Make Me Like You,Gwen Stefani,dance pop,2016,118
430,Champagne Problems,Nick Jonas,dance pop,2016,108
431,Blown,DNCE,dance pop,2016,130
432,Start,John Legend,neo mellow,2016,110
433,Pep Rally,Missy Elliott,dance pop,2016,90
434,Higher,Carly Rae Jepsen,canadian pop,2016,114
435,Invitation,Britney Spears,dance pop,2016,112
436,One Call Away (feat. Tyga) - Remix,Charlie Puth,dance pop,2016,91
437,Beautiful Birds (feat. Birdy),Passenger,folk-pop,2016,86
438,Little Lies,Hilary Duff,dance pop,2016,124
439,Do You Wanna Come Over?,Britney Spears,dance pop,2016,121
440,BURNITUP!,Janet Jackson,dance pop,2016,123
441,Picky - Remix,Joey Montana,latin,2016,186
442,Behind Your Back,Nelly Furtado,canadian latin,2016,98
443,Million Years Ago,Adele,british soul,2016,118
444,Shape of You,Ed Sheeran,pop,2017,96
445,Closer,The Chainsmokers,electropop,2017,95
446,Starboy,The Weeknd,canadian contemporary r&b,2017,186
447,Treat You Better,Shawn Mendes,canadian pop,2017,83
448,That's What I Like,Bruno Mars,pop,2017,134
449,Let Me Love You,DJ Snake,electronic trap,2017,100
450,I Feel It Coming,The Weeknd,canadian contemporary r&b,2017,93
451,Mercy,Shawn Mendes,canadian pop,2017,148
452,Side To Side,Ariana Grande,dance pop,2017,159
453,Stay,Zedd,complextro,2017,102
454,It Ain't Me (with Selena Gomez),Kygo,edm,2017,100
455,Malibu,Miley Cyrus,dance pop,2017,140
456,Something Just Like This,The Chainsmokers,electropop,2017,103
457,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2017,102
458,I Don�t Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,2017,118
459,My Way,Calvin Harris,dance pop,2017,120
460,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017,81
461,Praying,Kesha,dance pop,2017,73
462,Despacito - Remix,Luis Fonsi,latin,2017,178
463,The Greatest,Sia,australian dance,2017,192
464,There for You,Martin Garrix,big room,2017,106
465,Paris,The Chainsmokers,electropop,2017,100
466,Crying in the Club,Camila Cabello,dance pop,2017,85
467,Mama,Jonas Blue,dance pop,2017,104
468,Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,104
469,Swish Swish,Katy Perry,dance pop,2017,120
470,Chained To The Rhythm,Katy Perry,dance pop,2017,190
471,Cold (feat. Future),Maroon 5,pop,2017,100
472,Love,Lana Del Rey,art pop,2017,99
473,Reggaet�n Lento (Remix),CNCO,boy band,2017,94
474,All I Ask,Adele,british soul,2017,142
